"","msci_us_value","snp_us_value","msci_us_quality","snp_us_quality","msci_us_volatility","snp_us_volatility","msci_us_momentum","snp_us_momentum"
"1995/01/31",0.029508,0.027082,0.030837,0.022557,0.022469,0.029116,0.0127,-0.002288
"1995/02/28",0.041319,0.038809,0.03757,0.030723,0.036262,0.039572,0.041508,0.042331
"1995/03/31",0.026183,0.027572,0.030528,0.034876,0.029686,0.018718,0.045941,0.021107
"1995/04/30",0.034335,0.032922,0.032944,0.045006,0.027146,0.017327,0.043125,0.045939
"1995/05/31",0.040761,0.044492,0.040543,0.02796,0.03389,0.039186,0.037309,0.034515
"1995/06/30",0.01574,0.007592,0.046401,0.026815,0.013791,0.009389,0.037838,0.041197
"1995/07/31",0.038649,0.034445,0.031624,0.025869,0.031825,0.026461,0.035363,0.040639
"1995/08/31",0.008126,0.008542,-0.006375,0.000393,0.006169,0.013888,-0.005982,-0.001673
"1995/09/30",0.034487,0.034782,0.045195,0.05499,0.037946,0.04546,0.047562,0.048209
"1995/10/31",-0.013673,-0.015572,0.021134,0.013372,0.001453,0.009449,0.028382,0.027025
"1995/11/30",0.051415,0.052414,0.034449,0.054581,0.051198,0.046427,0.028441,0.018066
"1995/12/31",0.022393,0.027716,-0.001278,0.022903,0.02664,0.033697,0.00901,-0.000555
"1996/01/31",0.032076,0.029938,0.039123,0.048316,0.036354,0.031079,0.048913,0.050493
"1996/02/29",0.008121,0.009375,0.016207,0.015993,-0.003351,-0.002988,0.017598,0.031895
"1996/03/31",0.017907,0.023408,-0.004277,-4.6e-05,0.010215,0.009126,-0.001115,0.008744
"1996/04/30",0.014485,0.010181,0.028722,0.005548,0.0016,0.000586,0.018467,-0.00354
"1996/05/31",0.011348,0.015072,0.040079,0.03592,0.016788,0.013931,0.040631,0.045307
"1996/06/30",-0.002406,-0.004827,0.012306,0.016088,0.003984,0.026987,0.014409,0.023646
"1996/07/31",-0.04464,-0.042188,-0.032465,-0.028909,-0.039508,-0.046086,-0.038889,-0.036355
"1996/08/31",0.028691,0.027608,0.016051,0.016436,0.018424,0.020119,0.026096,0.014845
"1996/09/30",0.041047,0.04283,0.071396,0.065925,0.040247,0.036539,0.067711,0.074717
"1996/10/31",0.035533,0.033851,0.014118,0.02827,0.012869,0.039219,0.03105,0.041982
"1996/11/30",0.076001,0.076499,0.090511,0.088664,0.06354,0.05632,0.071824,0.062368
"1996/12/31",-0.016581,-0.016364,-0.015867,-0.016211,-0.015288,-0.018162,-0.025193,-0.023941
"1997/01/31",0.0527,0.04609,0.086271,0.086389,0.047637,0.022973,0.091469,0.08066
"1997/02/28",0.0056,0.007273,-1.7e-05,0.007563,0.013417,0.015579,0.002757,0.016873
"1997/03/31",-0.03437,-0.034238,-0.05203,-0.043508,-0.043179,-0.033957,-0.054493,-0.05151
"1997/04/30",0.042046,0.037492,0.087475,0.081259,0.045415,0.022305,0.100158,0.104639
"1997/05/31",0.057966,0.062724,0.056666,0.055265,0.059284,0.060006,0.051213,0.054356
"1997/06/30",0.037979,0.038228,0.045807,0.048187,0.046255,0.048236,0.055061,0.041474
"1997/07/31",0.087093,0.080003,0.072386,0.067191,0.058129,0.057104,0.084876,0.117766
"1997/08/31",-0.045464,-0.045192,-0.064707,-0.057728,-0.054659,-0.034736,-0.075363,-0.072576
"1997/09/30",0.057585,0.058629,0.039734,0.044668,0.052399,0.050849,0.054942,0.052522
"1997/10/31",-0.023648,-0.036747,-0.024487,-0.03646,-0.018755,-0.021212,-0.029344,-0.046762
"1997/11/30",0.041201,0.038119,0.050582,0.055216,0.051362,0.048412,0.039023,0.048741
"1997/12/31",0.025174,0.022202,0.006764,0.009283,0.020192,0.039529,0.017328,-4.4e-05
"1998/01/31",-0.010398,-0.012328,0.035299,0.027356,0.00334,-0.026565,0.02645,0.029764
"1998/02/28",0.066782,0.075009,0.073263,0.078166,0.055884,0.056615,0.064227,0.093401
"1998/03/31",0.050815,0.050651,0.047299,0.019913,0.058022,0.048596,0.066528,0.036348
"1998/04/30",0.021667,0.011836,0.009047,0.013339,-0.008574,-0.022003,0.040759,0.031655
"1998/05/31",-0.022915,-0.014068,-0.018542,-0.007946,-0.009315,-0.009874,-0.024409,-0.003305
"1998/06/30",0.009839,0.007594,0.067167,0.049762,0.031391,0.006058,0.077013,0.069683
"1998/07/31",-0.013822,-0.021721,0.004752,0.001198,-0.028051,-0.04502,0.015588,0.017706
"1998/08/31",-0.156929,-0.160797,-0.130885,-0.11915,-0.089856,-0.068703,-0.157554,-0.13212
"1998/09/30",0.055087,0.060757,0.089088,0.093302,0.058485,0.055766,0.047833,0.070962
"1998/10/31",0.083032,0.078331,0.074791,0.071778,0.060052,0.042611,0.092938,0.070427
"1998/11/30",0.056975,0.052089,0.083902,0.070497,0.048507,0.035033,0.082637,0.065146
"1998/12/31",0.028607,0.035123,0.067886,0.049719,0.040928,0.015055,0.102317,0.134881
"1999/01/31",0.024891,0.0202,0.044529,0.026324,0.015175,-0.03796,0.043021,0.088656
"1999/02/28",-0.007523,-0.02153,-0.036628,-0.039222,-0.025859,-0.021792,-0.024651,-0.043044
"1999/03/31",0.02548,0.030306,0.036767,0.014443,0.021747,-0.020415,0.057882,0.067858
"1999/04/30",0.088093,0.08621,0.008727,0.018471,0.044773,0.084407,0.002952,-0.002146
"1999/05/31",-0.017218,-0.01767,-0.022245,-0.019099,-0.008538,0.030087,-0.027524,-0.035856
"1999/06/30",0.028213,0.038408,0.061245,0.044987,0.018091,0.003356,0.081093,0.087433
"1999/07/31",-0.027781,-0.030747,-0.025901,-0.024424,-0.023081,-0.025273,-0.033271,-0.026886
"1999/08/31",-0.031852,-0.025331,0.011207,0.010912,-0.016897,-0.010045,-0.00431,0.010088
"1999/09/30",-0.045733,-0.039127,-0.036377,-0.061001,-0.035379,-0.050217,-0.002358,0.005327
"1999/10/31",0.056117,0.056453,0.057558,0.068866,0.060288,0.042375,0.082828,0.036506
"1999/11/30",-0.002355,-0.005861,0.031111,0.030686,-0.002634,-0.051328,0.041415,0.076194
"1999/12/31",0.020779,0.037574,0.063018,0.007163,0.032593,-0.014908,0.144427,0.152327
"2000/01/31",-0.03119,-0.031817,-0.061237,-0.003821,-0.037059,-0.035107,-0.068558,-0.058375
"2000/02/29",-0.065029,-0.062481,-0.011155,-0.049218,-0.050091,-0.105143,0.035184,0.081905
"2000/03/31",0.104778,0.104272,0.086513,0.06817,0.095291,0.093535,0.092997,0.091251
"2000/04/30",0.002616,-0.006687,-0.030761,0.010674,-0.007213,0.047347,-0.052392,-0.046223
"2000/05/31",0.00261,0.00312,-0.023379,0.017421,-0.009347,0.049105,-0.061583,-0.074923
"2000/06/30",-0.025349,-0.039505,0.065274,0.062333,-0.006421,-0.04176,0.060135,0.077501
